Category,Data_Alpha_Carotene,Data_Beta_Carotene,Data_Beta_Cryptoxanthin,Data_Carbohydrate,Data_Cholesterol,Data_Choline,Data_Fiber,Data_Lutein_and_Zeaxanthin,Data_Lycopene,Data_Niacin,Data_Protein,Data_Retinol,Data_Riboflavin,Data_Selenium,Data_Sugar_Total,Data_Thiamin,Data_Water,Data_Fat_Monosaturated_Fat,Data_Fat_Polysaturated_Fat,Data_Fat_Saturated_Fat,Data_Fat_Total_Lipid,Data_Major_Minerals_Calcium,Data_Major_Minerals_Copper,Data_Major_Minerals_Iron,Data_Major_Minerals_Magnesium,Data_Major_Minerals_Phosphorus,Data_Major_Minerals_Potassium,Data_Major_Minerals_Sodium,Data_Major_Minerals_Zinc,Data_Vitamins_Vitamin_A___RAE,Data_Vitamins_Vitamin_B12,Data_Vitamins_Vitamin_B6,Data_Vitamins_Vitamin_C,Data_Vitamins_Vitamin_E,Data_Vitamins_Vitamin_K
Chili con carne,8.0,199.5,47.0,9.88,17.0,27.0,2.75,91.5,1732.0,1.2305,7.385,9.0,0.0705,5.300000000000001,2.035,0.1195,76.28,1.774,0.345,1.88,4.640000000000001,49.0,0.093,1.295,23.5,97.0,259.5,412.5,1.37,27.0,0.475,0.1365,2.9,0.55,4.45
Chili con carne with beans,6.2,274.0,72.2,8.478,22.0,29.42,2.4799999999999995,139.4,2531.8,1.7584,8.27,18.8,0.097,7.2,2.152,0.1522,76.212,2.345,0.4338,2.0214,5.282,31.8,0.0904,1.296,21.8,92.2,278.2,394.6,1.424,44.8,0.546,0.1816,3.1,0.6759999999999999,4.12
Chili con carne with beans and cheese,9.0,221.0,81.0,12.54,14.0,22.2,3.1,143.0,628.0,0.744,6.72,17.0,0.051,4.9,1.79,0.02,73.65,1.727,0.441,2.191,5.07,68.0,0.093,1.28,28.0,106.0,254.0,460.0,1.03,38.0,0.32,0.103,0.2,0.51,4.5
Chili con carne with beans and macaroni,7.0,183.0,67.0,16.91,7.0,19.0,3.0,120.0,521.0,0.977,5.8,0.0,0.052,8.5,1.59,0.071,72.78,1.137,0.384,1.022,2.92,27.0,0.097,1.33,26.0,81.0,217.0,353.0,0.81,18.0,0.22,0.093,0.2,0.41,3.6
Chili con carne with beans and rice,7.0,178.0,65.0,16.65,7.0,17.7,2.6,115.0,507.0,0.946,5.07,0.0,0.025,4.5,1.44,0.053,73.98,1.1,0.324,0.976,2.72,28.0,0.09,1.31,24.0,77.0,210.0,343.0,0.8,18.0,0.21,0.102,0.2,0.39,3.5
Chili con carne with chicken or turkey and beans,7.0,177.0,13.0,7.36,21.0,31.4,2.4,40.0,2888.0,2.571,8.42,5.0,0.103,7.9,2.27,0.233,80.0,0.867,0.801,0.677,2.67,32.0,0.12,1.13,23.0,104.0,278.0,372.0,1.0,21.0,0.31,0.236,5.7,0.58,4.0
Chili con carne with venison/deer and beans,7.0,178.0,13.0,7.21,23.0,36.8,2.4,40.0,2835.0,2.69,8.26,0.0,0.126,3.2,2.28,0.325,80.73,0.527,0.237,0.996,2.21,28.0,0.097,1.52,20.0,96.0,279.0,304.0,1.48,16.0,0.54,0.194,5.6,0.72,4.4
Chili con carne without beans,19.0,138.0,30.0,6.1,21.0,42.2,0.5,16.0,248.0,1.245,7.53,0.0,0.111,6.5,1.1,0.031,77.68,2.469,0.501,2.255,7.1,30.0,0.188,2.01,20.0,77.0,185.0,411.0,1.12,14.0,1.02,0.129,1.8,0.59,2.2
Chili with beans,8.0,200.0,14.0,8.19,0.0,14.9,2.7,46.0,3221.0,0.608,2.39,0.0,0.056,0.9,2.59,0.237,87.37,0.086,0.151,0.076,0.33,28.0,0.084,0.84,17.0,49.0,221.0,400.0,0.3,17.0,0.0,0.096,6.4,0.63,4.6
Chiliburger,3.0,71.0,26.0,18.36,37.0,41.3,1.5,48.0,203.0,3.59,13.93,0.0,0.165,17.6,2.66,0.174,54.86,4.444,0.899,4.198,11.04,56.0,0.092,2.38,23.0,126.0,239.0,384.0,2.45,7.0,1.22,0.227,0.4,0.23,3.7
Chimichanga,0.0,34.5,0.0,23.97,6.5,14.5,2.95,24.0,644.5,1.653,6.385,14.5,0.148,11.2,2.095,0.1659999999999999,58.78,2.693,2.3015,3.044,8.844999999999999,105.5,0.1,1.965,26.0,139.0,215.5,511.5,0.605,17.5,0.045,0.082,2.55,0.53,7.4
Chimichanga with chicken,4.0,77.0,7.0,28.28,17.0,19.0,3.0,35.0,868.0,2.913,9.74,13.0,0.189,15.7,2.48,0.211,48.04,3.766,3.323,3.549,11.56,130.0,0.106,2.35,27.0,180.0,224.0,653.0,0.8,20.0,0.09,0.112,2.1,0.88,10.5
Chimichanga with chicken and sour cream,4.0,71.0,7.0,25.79,22.0,19.3,2.7,32.0,775.0,2.612,8.98,26.0,0.189,14.4,2.62,0.191,50.35,3.906,3.062,4.369,12.61,128.0,0.097,2.1,25.0,170.0,215.0,615.0,0.76,32.0,0.1,0.105,2.0,0.83,9.5
Chimichanga with meat,4.0,87.0,7.0,26.66,13.0,18.4,2.9,34.0,1664.0,2.488,8.82,11.0,0.177,14.1,2.64,0.194,50.6,3.874,3.028,3.688,11.55,122.0,0.107,2.38,26.0,163.0,230.0,636.0,1.15,19.0,0.27,0.12,2.5,0.88,10.0
Chimichanga with meat and sour cream,5.0,104.0,8.0,27.12,23.0,17.4,2.3,39.0,1961.0,2.77,8.95,30.0,0.206,15.0,3.34,0.205,46.31,4.906,3.421,5.461,15.35,145.0,0.086,2.3,20.0,170.0,185.0,621.0,1.19,39.0,0.34,0.116,1.4,1.04,11.0
Chinese pancake,0.0,0.0,0.0,45.38,0.0,3.3,0.7,0.0,0.0,2.379,4.05,0.0,0.025,8.6,0.07,0.262,49.8,0.117,0.1,0.102,0.38,17.0,0.123,2.32,15.0,62.0,62.0,5.0,0.62,0.0,0.0,0.088,0.0,0.06,0.1
Chipotle dip,1.0,24.666666666666668,2.333333333333333,6.41,29.666666666666668,19.3,0.0,21.666666666666668,0.0,0.102,3.813333333333333,60.66666666666666,0.112,5.233333333333333,4.123333333333334,0.0253333333333333,62.13,5.927666666666667,12.326333333333332,6.151,25.62666666666667,71.33333333333333,0.0203333333333333,0.1233333333333333,7.0,66.33333333333333,104.66666666666669,644.3333333333334,0.3366666666666666,63.0,0.26,0.0356666666666666,3.233333333333333,1.21,45.76666666666666
Chips,0.0,1.0,0.0,81.5,0.0,24.3,4.2,22.0,0.0,7.806,8.2,0.0,0.165,24.6,0.6,0.061,5.8,1.03,0.98,0.642,2.8,11.0,0.445,1.49,131.0,360.0,290.0,326.0,3.0,0.0,0.0,0.15,0.0,6.54,6.5
Chitterlings,0.0,0.0,0.0,0.0,275.0,467.1,0.0,0.0,0.0,0.086,12.39,0.0,0.046,26.8,0.0,0.014,67.31,7.014,1.207,9.441,20.15,25.0,0.046,1.46,9.0,65.0,14.0,340.0,1.84,0.0,0.42,0.0,0.0,0.23,0.0
Chives,0.0,2612.0,0.0,4.35,0.0,5.2,2.5,323.0,0.0,0.647,3.27,0.0,0.115,0.9,1.85,0.078,90.65,0.095,0.267,0.146,0.73,92.0,0.157,1.6,42.0,58.0,296.0,3.0,0.56,218.0,0.0,0.138,58.1,0.21,212.7
Chocolate,1.25,4.625,0.25,57.4875,12.625,35.35,4.175,11.75,0.0,1.094375,6.9725,20.625,0.2264999999999999,3.6625,49.595,0.09,1.2075,10.42225,2.047625,17.220625,32.68875,127.875,0.529,3.0075000000000003,83.25,194.0,398.0,51.5,1.665,21.125,0.39,0.058375,0.35,1.78,6.75
Chocolate beverage powder,0.0,0.0,0.0,79.295,0.0,135.1,6.8,0.0,0.0,12.899500000000002,6.82,0.0,0.2029999999999999,11.85,54.545,0.7545,4.25,1.0595,0.9155,1.1365,3.385,682.0,1.3635000000000002,1.635,231.5,293.0,992.5,318.0,10.23,0.0,0.0,1.3635000000000002,40.9,0.02,0.45
Chocolate candy with fondant and caramel,0.0,0.0,0.0,69.3,16.0,30.6,2.2,4.0,0.0,0.268,5.54,39.0,0.23,3.3,61.69,0.087,3.63,4.815,1.368,12.192,20.12,141.0,0.317,1.53,43.0,149.0,269.0,87.0,1.54,39.0,0.52,0.031,0.1,0.39,3.9
Chocolate dip,0.0,13.0,0.0,65.31,19.0,5.5,2.0,3.0,0.0,0.181,3.33,57.0,0.071,1.8,45.46,0.024,16.79,4.484,0.45,7.1,13.13,37.0,0.248,0.93,34.0,71.0,204.0,299.0,0.6,58.0,0.06,0.014,0.1,2.06,2.4
Chocolate milk,0.0,3.5098039215686274,0.0,9.473529411764703,5.470588235294118,18.601960784313725,0.2725490196078431,0.1176470588235294,0.0,0.3994509803921569,3.106862745098039,56.1764705882353,0.1399019607843137,2.062745098039216,8.042156862745097,0.060156862745098,85.0356862745098,0.3577843137254902,0.1294509803921568,0.7710588235294117,1.4829411764705882,136.07843137254903,0.070235294117647,0.1486274509803921,18.45098039215686,95.3529411764706,173.68627450980392,60.13725490196079,0.6309803921568627,56.47058823529412,0.46,0.0781764705882352,1.0941176470588234,0.1984313725490196,0.3352941176470588
Chocolate milk drink,0.0,0.0,0.0,10.68,0.0,3.3,0.6,1.0,0.0,0.106,0.64,60.0,0.051,0.7,8.68,0.01,87.63,0.049,0.009,0.31,0.4,100.0,0.074,0.33,11.0,24.0,79.0,91.0,0.16,60.0,0.06,0.011,2.0,0.01,0.1
Chocolate syrup,0.0,0.0,0.0,50.885,0.0,0.8500000000000001,0.0,3.0,0.0,0.1755,0.7,0.0,0.0355,1.35,44.285,0.007,47.04,0.0,0.0,0.0,0.485,5.5,0.292,0.0,38.0,56.0,154.5,125.0,0.515,0.0,0.0,0.009,0.0,0.01,0.2
Chocolate-flavored sprinkles,0.0,0.0,0.0,66.53,0.0,1.4,4.1,4.0,0.0,0.24,2.16,0.0,0.038,1.9,60.47,0.009,0.36,2.127,0.463,25.628,30.3,15.0,0.421,1.6,55.0,81.0,169.0,4.0,0.77,0.0,0.0,0.013,0.0,0.04,0.4
Chorizo,0.0,0.0,0.0,2.63,107.0,97.1,0.0,0.0,0.0,7.06,19.3,0.0,0.42,25.9,0.0,0.365,46.3,11.7,4.74,9.45,28.1,37.0,0.13,2.34,30.0,207.0,435.0,983.0,2.19,0.0,1.21,0.554,0.0,1.5,6.0
Chow fun noodles with meat and vegetables,12.0,61.0,0.0,11.51,17.0,27.3,0.9,74.0,0.0,1.444,7.09,0.0,0.11,9.1,1.1,0.223,77.96,1.065,0.547,0.849,2.74,16.0,0.04,0.45,11.0,71.0,145.0,162.0,0.69,6.0,0.15,0.151,3.1,0.26,7.9
Chow fun noodles with vegetables,15.0,77.0,0.0,14.46,0.0,9.0,1.1,93.0,0.0,0.299,1.56,0.0,0.053,2.4,1.39,0.019,82.32,0.227,0.492,0.164,0.97,15.0,0.035,0.29,6.0,25.0,73.0,189.0,0.22,7.0,0.0,0.048,3.8,0.28,9.9
Chow mein or chop suey,20.4,108.6,0.0,9.522,19.2,25.34,1.42,131.8,0.0,2.1258000000000004,6.874,1.2,0.1432,7.32,1.93,0.0932,78.18199999999999,1.5564,1.1294,1.1042,4.192,21.0,0.0455999999999999,1.028,12.4,74.6,164.2,376.8,0.5760000000000001,10.8,0.106,0.128,5.3,0.506,14.34
Christophine,0.0,5.0,0.0,4.7,2.0,9.8,1.8,0.0,0.0,0.465,0.86,11.0,0.029,0.2,1.73,0.024,90.92,1.013,0.893,0.804,2.86,18.0,0.128,0.36,13.0,19.0,131.0,133.0,0.77,12.0,0.0,0.089,6.8,0.44,6.8
Churros,1.0,4.0,2.0,48.87,29.0,28.6,2.6,38.0,0.0,2.567,6.05,5.0,0.182,15.4,23.38,0.305,21.63,7.09,3.509,9.247,22.21,110.0,0.09,2.42,17.0,115.0,105.0,309.0,0.62,5.0,0.11,0.038,1.2,1.42,11.6
Chutney,0.0,0.0,0.0,60.6,0.0,9.0,1.0,0.0,0.0,0.032,0.33,0.0,0.067,1.8,42.68,0.014,36.3,0.033,0.0,0.009,0.06,19.0,0.089,0.43,4.0,17.0,68.0,802.0,0.05,0.0,0.0,0.018,7.7,0.11,0.0
Cilantro,36.0,3930.0,202.0,3.67,0.0,12.8,2.8,865.0,0.0,1.114,2.13,0.0,0.162,0.9,0.87,0.067,92.21,0.275,0.04,0.014,0.52,67.0,0.225,1.77,26.0,48.0,521.0,46.0,0.5,337.0,0.0,0.149,27.0,2.5,310.0
Clam cake or patty,0.0,1.0,1.0,6.77,77.0,105.5,0.2,51.0,0.0,0.583,19.04,118.0,0.101,39.9,0.51,0.047,55.75,4.446,7.362,2.509,15.31,59.0,0.081,2.25,26.0,261.0,477.0,410.0,0.79,118.0,11.38,0.037,0.3,1.85,24.0
Clam chowder,45.0,112.16666666666669,0.0,6.858333333333333,5.5,8.966666666666667,0.5333333333333333,9.666666666666666,852.0,0.7315,2.776666666666667,21.83333333333333,0.0999999999999999,4.45,1.665,0.06,86.59500000000001,0.336,0.6738333333333334,0.8781666666666667,2.1216666666666666,43.833333333333336,0.1004999999999999,1.0916666666666666,11.0,121.0,193.33333333333331,281.3333333333333,0.3966666666666666,33.166666666666664,4.545,0.087,2.783333333333333,0.3216666666666667,2.233333333333333
Clams,0.0,7.0,0.0909090909090909,8.208181818181817,37.45454545454545,76.89999999999999,0.2454545454545454,4.909090909090909,0.0,0.7303636363636364,17.42818181818182,102.36363636363636,0.0742727272727272,36.41818181818182,0.4336363636363636,0.0564545454545454,66.22909090909091,1.887636363636364,1.6836363636363636,0.9968181818181818,5.293636363636364,54.54545454545455,0.0745454545454545,2.057272727272727,24.09090909090909,221.0,71.63636363636364,337.90909090909093,0.6690909090909091,102.9090909090909,11.922727272727274,0.0209999999999999,0.2636363636363636,1.1754545454545455,4.4
Clams Casino,4.0,94.0,1.0,9.83,16.0,35.1,1.2,98.0,0.0,1.069,8.73,62.0,0.072,16.6,2.05,0.097,74.84,1.955,1.276,1.083,4.72,43.0,0.068,1.19,18.0,101.0,159.0,326.0,0.49,69.0,4.42,0.103,14.7,0.74,9.6
Classic mixed vegetables,804.5714285714286,1756.2142857142858,7.642857142857143,10.46,1.6428571428571428,19.085714285714285,3.157142857142857,682.7857142857143,0.0,0.7640714285714285,2.3364285714285717,8.714285714285714,0.0758571428571428,0.5928571428571429,3.032857142857143,0.0584285714285714,83.7192857142857,0.8518571428571429,0.8339285714285715,0.6872142857142858,2.5535714285714284,23.571428571428573,0.0757857142857142,0.7735714285714286,17.214285714285715,44.71428571428572,149.78571428571428,150.0,0.4357142857142856,188.8571428571429,0.0,0.0831428571428571,4.05,0.5492857142857143,22.414285714285715
Clementine,101.0,155.0,407.0,13.34,0.0,10.2,1.8,138.0,0.0,0.376,0.81,0.0,0.036,0.1,10.58,0.058,85.17,0.06,0.065,0.039,0.31,37.0,0.042,0.15,12.0,20.0,166.0,2.0,0.07,34.0,0.0,0.078,26.7,0.2,0.0
Cobb salad,34.0,483.0,4.0,2.48,61.0,51.0,1.2,661.0,800.0,3.643,11.36,15.0,0.124,11.2,1.08,0.074,80.95,2.117,0.63,1.045,4.34,26.0,0.061,0.54,18.0,121.0,279.0,157.0,0.57,57.0,0.2,0.188,8.9,0.66,33.7
Cobbler,1.25,134.875,16.625,39.49875,0.5,5.6625,1.5,39.5,0.0,1.0125,2.41875,7.0,0.1075,5.825,24.50375,0.110375,51.70125,2.062625,1.449375,1.261,5.1925,74.0,0.058125,1.0425,9.5,55.625,117.125,180.875,0.235,19.125,0.0349999999999999,0.03,2.775,0.5675,7.55
Cocktail,0.0,0.0,0.0,7.8,0.0,0.2,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.1,7.48,0.001,83.73,0.0,0.0,0.0,0.19,1.0,0.01,0.02,0.0,8.0,4.0,3.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Cocktail sauce,7.0,212.0,0.0,28.22,0.0,11.0,1.8,2.0,6753.0,0.82,1.36,0.0,0.047,2.2,11.83,0.021,65.67,0.0,0.0,0.0,1.05,26.0,0.111,0.83,17.0,30.0,309.0,1262.0,0.38,18.0,0.0,0.08,11.6,1.08,4.4
Cocoa powder,0.0,0.0,0.0,57.9,0.0,12.0,37.0,38.0,0.0,2.185,19.6,0.0,0.241,14.3,1.75,0.078,3.0,4.57,0.44,8.07,13.7,128.0,3.788,13.86,499.0,734.0,1524.0,21.0,6.81,0.0,0.0,0.118,0.0,0.1,2.5
Coconut,0.0,0.0,0.0,33.54,0.0,15.7,9.45,0.0,0.0,0.6185,3.23,0.0,0.0175,13.1,21.49,0.0405,31.225,1.401,0.294,28.047,30.74,12.5,0.365,1.97,41.5,106.5,358.5,152.5,0.905,0.0,0.0,0.0419999999999999,1.65,0.12,0.1
Coconut candy,0.0,0.0,0.0,63.04333333333333,0.6666666666666666,8.9,3.8,1.6666666666666667,0.0,0.3856666666666666,2.68,0.0,0.031,6.4,51.873333333333335,0.0443333333333333,10.766666666666666,0.4326666666666667,0.1243333333333333,19.404,22.703333333333333,24.666666666666668,0.3056666666666667,1.2766666666666666,34.333333333333336,80.33333333333333,255.66666666666663,94.0,0.8366666666666668,0.0,0.0,0.0513333333333333,1.5666666666666669,0.16,0.6
Coconut cream,0.0,0.0,0.0,53.21,0.0,6.6,0.2,0.0,0.0,0.038,1.17,0.0,0.04,5.5,51.5,0.022,28.97,0.679,0.159,15.472,16.31,4.0,0.236,0.13,17.0,22.0,101.0,36.0,0.6,0.0,0.0,0.029,0.0,0.13,0.1
Coconut cream cake,3.0,7.0,2.0,47.27,82.0,53.9,1.2,82.0,0.0,0.385,2.41,28.0,0.046,7.8,45.97,0.023,34.97,1.421,0.455,11.941,14.79,19.0,0.153,1.1,20.0,82.0,149.0,13.0,0.54,29.0,0.12,0.042,1.2,0.27,0.1
Coconut milk,0.0,0.0,0.0,4.23,0.0,4.25,1.1,0.0,0.0,0.38,1.25,31.5,0.0,3.1,2.92,0.013,81.095,0.507,0.1305,11.6115,12.96,102.0,0.133,0.97,18.5,50.0,141.0,17.0,0.335,31.5,0.315,0.0165,1.4,0.075,0.05
Coconut oil,0.0,0.0,0.0,0.84,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,6.31,1.7,82.5,99.1,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.11,0.6
Coconut water,0.0,0.0,0.0,6.655,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.0005,0.0,6.35,0.0289999999999999,92.625,0.0,0.0,0.0,0.01,7.0,0.008,0.03,6.0,5.0,161.0,25.5,0.02,0.0,0.0,0.0,9.65,0.0,0.0
Cod,0.0,7.25,0.25,5.8715,67.9,90.045,0.3099999999999999,13.3,0.0,1.9054,20.3955,22.85,0.10185,34.135000000000005,0.5265,0.10035,67.866,1.16265,1.11545,1.03705,3.647,32.95,0.04795,0.7075,30.75,356.0,335.55,773.4,0.5435,23.4,2.3835,0.1891499999999999,0.325,1.0505,2.71
Codfish,6.0,44.0,0.0,7.59,11.0,18.7,0.4,30.0,689.0,0.926,5.29,3.0,0.024,9.2,0.62,0.062,84.44,1.095,0.232,0.254,1.7,12.0,0.047,0.47,14.0,66.0,153.0,270.0,0.27,7.0,0.21,0.102,5.0,0.5,1.7
Codfish ball or cake,0.0,11.0,1.0,10.57,61.0,69.5,1.2,34.0,0.0,2.108,14.32,46.0,0.135,23.6,1.01,0.111,63.76,3.489,3.128,2.575,9.85,31.0,0.036,0.72,31.0,124.0,294.0,369.0,0.58,46.0,0.67,0.206,0.5,1.36,8.4
Codfish fritter,0.0,0.0,0.0,35.98,32.0,49.4,1.3,7.0,0.0,3.096,15.3,1.0,0.233,31.4,0.14,0.289,39.81,2.973,3.141,1.073,7.62,83.0,0.089,2.41,23.0,250.0,192.0,190.0,0.56,1.0,0.99,0.091,0.5,1.21,8.3
Codfish salad,31.0,144.0,0.0,2.81,15.0,26.3,0.7,51.0,795.0,0.883,6.61,4.0,0.032,10.4,1.51,0.043,72.86,11.452,1.744,2.216,15.94,15.0,0.038,0.36,17.0,83.0,245.0,415.0,0.24,17.0,0.28,0.12,5.6,2.67,11.8
Codfish soup with noodles,6.0,43.0,0.0,7.5,18.0,24.2,0.6,39.0,673.0,1.098,5.7,4.0,0.055,13.4,0.69,0.096,83.69,1.195,0.348,0.336,2.11,13.0,0.055,0.56,16.0,74.0,151.0,265.0,0.32,8.0,0.22,0.09,4.9,0.52,1.6
Codfish with starchy vegetables,38.0,1572.0,8.0,18.45,6.0,20.5,2.7,20.0,263.0,0.678,3.53,1.0,0.038,4.5,2.94,0.065,71.46,3.815,0.62,0.759,5.43,29.0,0.118,0.52,27.0,74.0,419.0,51.0,0.26,134.0,0.09,0.2,5.0,1.93,7.0
Coffee,0.0,0.8571428571428571,0.0,13.297032967032967,1.2857142857142858,10.402197802197804,0.1538461538461538,0.1758241758241758,0.0,2.069043956043956,1.7512087912087912,22.31868131868132,0.0937692307692307,1.312087912087912,7.891978021978021,0.0156263736263736,82.26835164835165,0.3722637362637362,0.1112417582417582,1.1483626373626374,1.783956043956044,54.78021978021978,0.0457142857142857,0.299010989010989,32.362637362637365,57.87912087912088,285.45054945054943,40.85714285714285,0.1752747252747252,22.35164835164835,0.1578021978021977,0.0159560439560439,0.0417582417582417,0.1621978021978022,0.3879120879120878
Coffee and chicory,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.2065,0.11,0.0,0.038,0.05,0.0,0.007,99.345,0.0075,0.0015,0.002,0.01,2.0,0.0045,0.03,4.0,2.0,51.5,2.0,0.02,0.0,0.0,0.0005,0.0,0.005,0.1
Coffee cake,0.25,16.0,1.75,49.3225,54.0,29.675,1.625,46.0,0.0,1.7054999999999998,5.859999999999999,89.25,0.22125,13.1,28.72,0.23025,27.53,3.7055,4.9495000000000005,5.7780000000000005,15.57,111.25,0.1455,1.65,21.25,111.5,120.5,289.25,0.615,91.0,0.1475,0.0845,0.775,0.8,2.0
Coffee creamer,0.0,4.307692307692308,0.0,36.07923076923077,0.0,0.7846153846153846,0.1769230769230769,0.1538461538461538,0.0,0.0134615384615384,1.2407692307692306,0.0,0.0043076923076923,0.8,26.66230769230769,0.0006153846153846,48.07769230769231,5.959769230769231,0.7204615384615385,5.934153846153847,13.486153846153844,3.692307692307693,0.0257692307692307,0.3076923076923077,2.923076923076923,105.92307692307692,351.15384615384613,101.6923076923077,0.07,0.3846153846153846,0.0,0.0006153846153846,0.0,0.6546153846153846,2.6538461538461537
Coffee substitute,0.0,2.5,0.0,39.86,0.0,6.8,11.85,98.5,0.0,8.979000000000001,3.055,0.0,0.0485,32.599999999999994,2.355,0.21,53.18,0.181,0.6225,0.3065,1.28,31.0,0.1105,2.34,124.5,295.0,1242.0,44.0,0.26,0.0,0.0,0.3795,0.0,0.5,0.8
Cold cut sumarine sandwich,2.0,61.0,18.0,20.43,27.0,29.1,1.2,115.0,275.0,4.323,10.52,16.0,0.267,19.9,3.18,0.343,56.51,3.716,1.927,3.554,10.04,171.0,0.084,1.81,20.0,112.0,282.0,575.0,1.05,22.0,0.22,0.203,7.5,0.41,4.5
Coleslaw dressing,1.0,2.0,0.5,31.2,33.0,14.95,0.2,24.5,0.0,0.1555,0.425,8.0,0.0325,3.2,29.98,0.022,38.425,8.003499999999999,13.441,4.1615,27.265,22.5,0.009,0.295,4.0,36.0,42.5,1225.0,0.1699999999999999,8.5,0.095,0.0135,0.3,2.46,52.8
Collards,41.42857142857143,4170.571428571428,19.857142857142858,5.175714285714285,1.4285714285714286,23.15714285714285,2.942857142857143,6709.285714285715,0.0,0.5937857142857144,2.5557142857142856,7.571428571428571,0.1045714285714285,1.2214285714285713,0.48,0.0381428571428571,88.38285714285713,0.7092857142857143,0.7509285714285714,0.5902142857142857,2.3328571428571427,195.0,0.0587857142857142,0.9421428571428572,25.857142857142858,24.714285714285715,204.2142857142857,198.28571428571428,0.2321428571428571,357.85714285714283,0.0,0.1253571428571428,23.207142857142856,1.9807142857142856,449.6571428571429
Congee,0.0,10.25,0.0,6.77,6.75,8.75,0.2,9.75,0.0,0.8215,2.7175,0.5,0.023,4.6,0.125,0.0445,89.16,0.199,0.0645,0.1565,0.5075000000000001,7.0,0.053,0.405,6.0,32.75,40.5,245.75,0.3525,1.25,0.1149999999999999,0.0475,0.375,0.055,0.925
Cookie,8.25,17.43,0.38,68.0873,8.68,13.276,2.673,23.15,0.02,2.71626,5.340800000000001,20.13,0.2793799999999999,8.134,32.7065,0.2698,7.885699999999999,6.07703,4.12034,6.0435,17.3272,33.18,0.20293,3.0333,30.81,98.48,170.69,336.08,0.6358,21.96,0.0571,0.16323,0.34,1.3062,8.414
Cookie bar,0.0,0.0,0.0,65.36,0.0,10.5,2.0,1.0,0.0,2.665,5.1,0.0,0.297,3.9,32.9,0.292,3.57,6.272,8.417,8.091,24.72,21.0,0.323,5.58,41.0,109.0,171.0,311.0,0.72,0.0,0.03,0.058,0.0,2.01,33.7
Cookies,0.0,0.0,0.0,67.37,21.0,16.8,1.6,9.0,0.0,3.082,5.99,0.0,0.262,19.8,23.31,0.364,2.75,10.095,2.734,8.82,22.91,9.0,0.085,2.7,13.0,63.0,63.0,271.0,0.43,0.0,0.0,0.023,0.0,0.17,0.2
Cordial or liqueur,0.0,0.0,0.0,44.2,0.0,0.4,0.0,0.0,0.0,0.0735,0.05,0.0,0.006,0.4,39.95,0.002,29.65,0.0185,0.136,0.06,0.3,0.5,0.06,0.065,1.5,3.0,15.0,6.5,0.035,0.0,0.0,0.0,0.0,0.0,0.0
Corn,12.666666666666666,32.375,57.083333333333336,16.32,3.9583333333333335,20.120833333333334,1.9458333333333333,625.7916666666666,0.0,1.1242083333333333,2.4616666666666664,9.25,0.0582083333333333,0.9041666666666668,4.153333333333333,0.0535833333333333,77.73166666666667,0.921,0.8814166666666666,0.674875,2.6704166666666667,6.041666666666667,0.0409166666666666,0.3983333333333334,21.625,62.958333333333336,179.75,128.875,0.4270833333333333,14.833333333333334,0.0108333333333333,0.072875,3.275,0.26375,1.7125
Corn and sweet potatoes,12.0,1488.0,3.0,15.23,1.0,10.2,1.8,215.0,0.0,0.444,1.26,1.0,0.041,1.1,4.0,0.018,82.62,0.071,0.123,0.053,0.28,18.0,0.051,0.31,10.0,29.0,154.0,14.0,0.19,126.0,0.01,0.06,5.0,0.51,0.6
Corn beverage,7.0,10.0,0.0,9.4,0.0,1.0,0.5,173.0,0.0,0.529,0.84,0.0,0.041,1.2,0.19,0.052,89.07,0.046,0.098,0.026,0.21,3.0,0.017,0.49,5.0,11.0,16.0,135.0,0.09,1.0,0.0,0.019,0.0,0.01,0.0
Corn chips,3.2,20.6,37.4,56.904,0.0,12.42,3.98,509.6,0.0,0.7906,6.276,0.0,0.0878,7.859999999999999,0.298,0.0564,1.076,9.1734,16.643,4.3498,33.46,135.2,0.0984,1.186,71.2,195.4,147.4,567.8,1.242,3.0,0.0,0.1626,0.02,7.184,7.06
Corn dog,0.0,3.0,4.0,26.96,44.0,26.9,1.0,132.0,0.0,2.786,8.57,47.0,0.155,27.6,7.54,0.141,50.32,4.732,3.354,3.466,12.02,72.0,0.072,1.9,17.0,224.0,125.0,668.0,0.85,48.0,0.48,0.117,0.5,0.6,5.8
Corn flour patty or tart,0.0,1.0,1.0,41.18,0.0,3.8,3.0,2.0,0.0,2.449,3.98,0.0,0.192,5.0,5.91,0.3,48.22,1.266,2.391,0.624,4.64,67.0,0.103,2.35,44.0,109.0,124.0,483.0,0.85,0.0,0.0,0.201,0.0,0.47,0.1
